player_id,player_name,team,position,season,fantasy_total
4035004,Mecole Hardman,KC,WR,2024,33.2
11122,Matt Prater,FA,K,2024,33.0
4372071,Hassan Haskins,LAC,RB,2024,32.8
4430637,Ja'Lynn Polk,NE,WR,2024,32.7
4430968,Kimani Vidal,LAC,RB,2024,32.7
2998565,Mo Alie-Cox,IND,TE,2024,32.7
3125116,D'Onta Foreman,CLE,RB,2024,32.6
4039160,Kylen Granson,PHI,TE,2024,32.2
4426485,Jonathan Mingo,DAL,WR,2024,32.2
3047876,KhaDarel Hodge,ATL,WR,2024,32.1
3127306,Dante Pettis,NO,WR,2024,32.0
4689334,Malik Heath,GB,WR,2024,31.7
4035886,Khalil Herbert,IND,RB,2024,31.5
4362619,Chris Rodriguez Jr.,WSH,RB,2024,31.5
3044720,Joshua Dobbs,NE,QB,2024,30.84
4039358,Patrick Taylor Jr.,SF,RB,2024,29.8
4360405,Jake Bobo,SEA,WR,2024,29.7
4361777,Zamir White,LV,RB,2024,29.3
2515270,Michael Burton,DEN,RB,2024,29.3
4599739,Kendre Miller,NO,RB,2024,29.1
4685201,Tanner McKee,PHI,QB,2024,28.82
3928925,JaMycal Hasty,NE,RB,2024,28.8
4361372,Jeremy Ruckert,NYJ,TE,2024,28.5
4242431,Ty Chandler,MIN,RB,2024,28.4
4241263,Charlie Kolar,BAL,TE,2024,28.3
4430104,Sincere McCormick,LV,RB,2024,27.2
4372758,Kevin Austin Jr.,NO,WR,2024,27.0
4243371,Riley Patterson,FA,K,2024,27.0
4383396,Hunter Luepke,DAL,RB,2024,26.9
4427985,Bub Means,NO,WR,2024,26.8
2975863,Eric Saubert,SF,TE,2024,26.7
4682745,Jaylen Wright,MIA,RB,2024,26.7
2573401,Tyler Higbee,LAR,TE,2024,26.6
4361516,Daniel Bellinger,NYG,TE,2024,26.5
3917668,Alec Ingold,MIA,RB,2024,26.3
2576716,Jamison Crowder,WSH,WR,2024,26.2
4243004,Jordan Mims,NO,RB,2024,26.1
4571557,Spencer Shrader,IND,K,2024,26.0
4722908,Drew Ogletree,IND,TE,2024,25.9
4240703,Kenny Pickett,CLE,QB,2024,25.14
4573697,Mason Tipton,NO,WR,2024,23.9
4714365,Carson Steele,KC,RB,2024,23.9
4686422,Xavier Hutchinson,HOU,WR,2024,23.7
4259305,Bo Melton,GB,WR,2024,22.5
4427391,Kenny McIntosh,SEA,RB,2024,22.4
3122168,Trent Sherfield Sr.,DEN,WR,2024,22.3
4365395,Julian Hill,MIA,TE,2024,22.0
4239086,Desmond Ridder,LV,QB,2024,21.92
4429006,Rakim Jarrett,TB,WR,2024,21.4
4240631,DeeJay Dallas,ARI,RB,2024,21.0
4421446,Craig Reynolds,DET,RB,2024,20.9
14163,Tyrod Taylor,NYJ,QB,2024,20.06
16760,Jimmy Garoppolo,LAR,QB,2024,19.86
4360698,Joe Milton III,NE,QB,2024,19.24
4039050,Devin Duvernay,FA,WR,2024,19.2
4061956,Ashton Dulin,IND,WR,2024,19.2
4040612,Luke Farrell,SF,TE,2024,18.7
3916566,K.J. Osborn,WSH,WR,2024,18.7
4243003,Ronnie Rivers,LAR,RB,2024,18.3
5083754,Ryan Flournoy,DAL,WR,2024,18.2
4241372,Hollywood Brown,KC,WR,2024,18.1
4360967,Brevyn Spann-Ford,DAL,TE,2024,17.8
4428532,Ainias Smith,PHI,WR,2024,17.7
4040774,Harrison Bryant,PHI,TE,2024,17.6
4570561,Eric Gray,NYG,RB,2024,17.3
2975417,Patrick Ricard,BAL,RB,2024,17.2
4362018,Blake Whiteheart,CLE,TE,2024,17.1
4360739,Simi Fehoko,ARI,WR,2024,16.6
3059722,Zay Jones,ARI,WR,2024,16.4
4241961,Connor Heyward,PIT,TE,2024,16.0
2508256,MyCole Pruitt,PIT,TE,2024,16.0
4367178,Dorian Thompson-Robinson,PHI,QB,2024,15.8
4044144,Kenny Yeboah,DET,TE,2024,15.7
4431545,Will Shipley,PHI,RB,2024,15.7
4362617,Bryce Oliver,TEN,WR,2024,15.5
3924365,Hayden Hurst,LAC,TE,2024,15.3
3039707,Mitchell Trubisky,BUF,QB,2024,15.26
